	OG	TSG
ANKRD12	0.14009842550727772	0.8599015744927222
TOM1L2_ENST00000379504	0.17980631521516743	0.8201936847848326
UNC45A	0.17980631521516743	0.8201936847848326
NTRK2_ENST00000376214	0.17980631521516743	0.8201936847848326
PITX3	0.17980631521516743	0.8201936847848326
C17orf42	0.17980631521516743	0.8201936847848326
PMEL	0.17980631521516743	0.8201936847848326
DPYD	0.17980631521516743	0.8201936847848326
TRIM36_ENST00000282369	0.17980631521516743	0.8201936847848326
DCLRE1C_ENST00000378289	0.17980631521516743	0.8201936847848326
SIGLEC1	0.17980631521516743	0.8201936847848326
C6orf27	0.17980631521516743	0.8201936847848326
ASB15_ENST00000451558	0.17980631521516743	0.8201936847848326
PDE6B	0.17980631521516743	0.8201936847848326
CMIP	0.17980631521516743	0.8201936847848326
C3orf21	0.17980631521516743	0.8201936847848326
CXorf66	0.17980631521516743	0.8201936847848326
OR5B21	0.17980631521516743	0.8201936847848326
TRHDE	0.17980631521516743	0.8201936847848326
FILIP1_ENST00000393004	0.17980631521516743	0.8201936847848326
ATF7IP2_ENST00000396560	0.17980631521516743	0.8201936847848326
ACTR2	0.17980631521516743	0.8201936847848326
PKMYT1	0.17980631521516743	0.8201936847848326
SLC5A6	0.17980631521516743	0.8201936847848326
TOM1L2	0.17980631521516743	0.8201936847848326
CCDC85A	0.17980631521516743	0.8201936847848326
TRAPPC9	0.17980631521516743	0.8201936847848326
TRIM45	0.17980631521516743	0.8201936847848326
ST7	0.17980631521516743	0.8201936847848326
TNS4	0.17980631521516743	0.8201936847848326
FBXO18	0.17980631521516743	0.8201936847848326
ENSG00000171084	0.17980631521516743	0.8201936847848326
CHRNB1	0.17980631521516743	0.8201936847848326
ZNF746	0.17980631521516743	0.8201936847848326
ACTN2_ENST00000542672	0.17980631521516743	0.8201936847848326
WDR35	0.17980631521516743	0.8201936847848326
TRIP12	0.17980631521516743	0.8201936847848326
CHD2	0.17980631521516743	0.8201936847848326
MINK1_ENST00000355280	0.17980631521516743	0.8201936847848326
