	OG	TSG
FAT	0.012792453878737819	0.9872075461212623
ARID1A	0.012792453878737819	0.9872075461212623
MLL3_ENST00000355193	0.012792453878737819	0.9872075461212623
SETD2_ENST00000409792	0.012792453878737819	0.9872075461212623
PBRM1_ENST00000356770	0.012792453878737819	0.9872075461212623
NF1	0.012792453878737819	0.9872075461212623
CDKN2A_ENST00000446177	0.012792453878737819	0.9872075461212623
BCOR_ENST00000378444	0.012792453878737819	0.9872075461212623
MAP3K1_ENST00000399503	0.012792453878737819	0.9872075461212623
CDKN2A_ENST00000498124	0.012792453878737819	0.9872075461212623
PBRM1_ENST00000296302	0.012792453878737819	0.9872075461212623
BCOR	0.012792453878737819	0.9872075461212623
KDM6A	0.012792453878737819	0.9872075461212623
KMT2D	0.012792453878737819	0.9872075461212623
TNRC6B_ENST00000454349	0.012792453878737819	0.9872075461212623
MLL2_ENST00000301067	0.012792453878737819	0.9872075461212623
NF1_ENST00000358273	0.012792453878737819	0.9872075461212623
PTCH1_ENST00000375274	0.021681342767626708	0.9783186572323734
PTCH1_ENST00000331920	0.021681342767626708	0.9783186572323734
CRIPAK	0.02279245387873782	0.9772075461212623
CREBBP	0.02352416119581099	0.9764758388041891
NOTCH1_ENST00000277541	0.02352416119581099	0.9764758388041891
NOTCH1	0.02352416119581099	0.9764758388041891
MLL4	0.02352416119581099	0.9764758388041891
ATRX_ENST00000373344	0.02352416119581099	0.9764758388041891
NCOR1_ENST00000395851	0.02352416119581099	0.9764758388041891
SOX9	0.02390356498984893	0.9760964350101511
LARP4B	0.02390356498984893	0.9760964350101511
TCF7L2_ENST00000543371	0.02390356498984893	0.9760964350101511
TCF7L2	0.02390356498984893	0.9760964350101511
RTN4_ENST00000337526	0.02390356498984893	0.9760964350101511
STAG2_ENST00000218089	0.02390356498984893	0.9760964350101511
KDM6A_ENST00000377967	0.02390356498984893	0.9760964350101511
RUNX1	0.02390356498984893	0.9760964350101511
TCF7L2_ENST00000355717	0.02390356498984893	0.9760964350101511
KDM6A_ENST00000382899	0.02390356498984893	0.9760964350101511
ZFP36L2	0.02390356498984893	0.9760964350101511
MBD6	0.02390356498984893	0.9760964350101511
ZNF750	0.02390356498984893	0.9760964350101511
RB1_ENST00000267163	0.02390356498984893	0.9760964350101511
TBX3	0.02390356498984893	0.9760964350101511
ZC3H18	0.027985197642910156	0.9720148023570898
USP35_ENST00000263311	0.03279245387873782	0.9672075461212623
KIAA0182	0.03279245387873782	0.9672075461212623
TNRC6B_ENST00000301923	0.03279245387873782	0.9672075461212623
GRLF1_ENST00000317082	0.0345915621924016	0.9654084378075984
RASA1	0.0346352723069221	0.9653647276930779
WT1_ENST00000379079	0.0346352723069221	0.9653647276930779
PDS5B	0.0346352723069221	0.9653647276930779
KIAA1267	0.0346352723069221	0.9653647276930779
CASP8_ENST00000264275	0.0346352723069221	0.9653647276930779
KDM5C_ENST00000452825	0.0346352723069221	0.9653647276930779
ELF3	0.0346352723069221	0.9653647276930779
BMPR2	0.0346352723069221	0.9653647276930779
RASA1_ENST00000456692	0.0346352723069221	0.9653647276930779
WT1	0.0346352723069221	0.9653647276930779
CASP8_ENST00000358485	0.0346352723069221	0.9653647276930779
PTCH1_ENST00000430669	0.03561392703728963	0.9643860729627104
TAF1B	0.03932840159115612	0.9606715984088439
WBP1	0.03932840159115612	0.9606715984088439
B2M_ENST00000544417	0.03932840159115612	0.9606715984088439
NF2_ENST00000403999	0.03932840159115612	0.9606715984088439
ZFP36L1	0.03932840159115612	0.9606715984088439
FAM123B_ENST00000330258	0.04287408653179904	0.9571259134682009
B3GALT1	0.04341003424421735	0.9565899657557827
SMARCC2	0.043524161195810984	0.9564758388041891
NFATC4	0.043524161195810984	0.9564758388041891
GATA3	0.04398519764291016	0.9560148023570898
ELF3_ENST00000359651	0.04512707558561063	0.9548729244143892
LRCH1	0.04512707558561063	0.9548729244143892
DIEXF	0.04512707558561063	0.9548729244143892
RTKN2	0.04512707558561063	0.9548729244143892
IWS1	0.04512707558561063	0.9548729244143892
ZNF14	0.04512707558561063	0.9548729244143892
ZMYM3	0.045811074387523555	0.9541889256124765
ZC3H13_ENST00000242848	0.045811074387523555	0.9541889256124765
