gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
ABCD1	1910154	NaN	37	106731891	34954227	0	105	24	0	3	89	133212366	0	0
ABHD12	608597	348	-3	63740061	17570574	0	40	8	0	8	89	155850576	0	0
ABHD12B	411016	431	41	45463341	11859099	0	50	10	0	16	337	439742037	0	0
ACOT4	606300	169	39	60271638	19107480	0	39	5	0	3	20	64176210	0	0
ACTBL2	160055	456	3	54456318	16137513	0	59	9	0	16	225	275542323	0	0
ACVR1B	493265	371	27	81601401	23012052	0	113	15	0	5	89	140003829	0	0
ACVR2A	90992	951	-2	78527589	20042085	0	213	14	0	2	50	75682236	0	0
ADHFE1	259302	268	12	70033068	20810538	0	60	6	0	1	11	37134972	0	0
ADRBK1	1369264	177	44	106337280	27622770	0	58	24	0	4	81	118632528	0	0
AHCTF1	422581	405	4	340300065	93979725	0	186	46	0	3	63	139069224	0	0
AHSG	508316	436	45	53729403	16677507	0	69	13	0	5	108	168665049	0	0
AIM2	97976	866	8	51860193	13686771	0	75	8	0	2	50	71445360	0	0
AKAP13	230754	454	17	422213001	117116391	0	243	63	0	0	63	117116391	0	0
AKIRIN1	681587	318	30	28972755	8099910	0	26	1	0	9	146	306633516	0	0
AKT1	711772	247	36	74041485	19107480	0	112	15	0	10	114	172860387	0	0
AMAC1L2	499514	671	36	46190256	17300577	0	87	18	0	2	46	63740061	0	0
AMBRA1	880494	212	45	176204196	54020169	0	134	30	0	8	164	303206631	0	0
ANKRD13A	950689	254	54	90739761	23219742	0	30	5	0	1	11	37155741	0	0
AP1S1	1044715	199	39	24548958	6168393	0	20	4	0	26	316	561261456	0	0
AP3S1	380598	759	6	30011205	7497609	0	39	8	0	10	147	195519366	0	0
APC	247811	399	28	418765347	116576397	0	1266	54	0	1	58	132256992	0	0
ARHGAP5	153921	392	1	224035203	58153200	0	257	78	0	0	78	58153200	0	0
ARID1A	975965	182	27	332262462	99774276	0	821	51	0	1	81	144261474	0	0
ARID2	820796	602	10	268958550	79212966	0	405	51	0	0	51	79212966	0	0
ARSD	191640	NaN	18	95142789	27664308	0	77	27	0	2	76	82536006	0	0
ASCC3	103404	825	2	338742390	89306700	0	207	29	0	0	29	89306700	0	0
ASCL1	21203	964	3	34019622	10529883	0	33	13	0	2	71	51320199	0	0
ASXL1	780777	242	57	223682130	67790016	0	232	50	0	2	87	131571615	0	0
ATAD2	544857	225	30	211677648	55058619	0	169	24	0	0	24	55058619	0	0
ATG4D	2036812	226	23	69742302	21412839	0	42	18	0	14	315	416356143	0	0
ATM	415837	582	16	469317093	117552540	0	515	35	0	2	51	150658326	0	0
ATRX	548517	NaN	8	382294983	92172822	0	412	48	0	2	93	171946551	0	0
ATXN1	109777	623	30	115579485	37197279	0	293	39	0	1	103	94395105	0	0
ATXN7	156786	683	8	141436890	42493374	0	77	27	0	1	48	69721533	0	0
AXIN1	1444992	205	40	126483210	37321893	0	189	31	0	4	115	158176704	0	0
B3GALT1	67289	1010	-14	48246387	12876780	0	83	21	0	10	316	226299024	0	0
BAIAP2L2	1528130	197	73	78839124	23468970	0	61	10	0	4	45	85817508	0	0
BAP1	1078407	229	62	108933405	31506573	0	234	18	0	4	60	104509608	0	0
BATF3	399829	364	30	19003635	5420709	0	22	4	0	24	500	638085987	0	0
BAX	1927185	211	43	37467276	11256798	0	42	5	0	1	15	26106633	0	0
BCOR	377184	NaN	42	256123308	75599160	0	227	49	0	0	49	75599160	0	0
BCORL1	389645	NaN	38	254233329	82847541	0	210	55	0	3	75	118424838	0	0
BIRC3	462955	280	5	91342062	23738967	0	70	10	0	3	45	136784634	0	0
BIRC7	1005137	285	50	44258739	13126008	0	30	12	0	4	62	86253657	0	0
BMPR2	369483	417	30	154105980	43095675	0	112	16	0	2	37	80147571	0	0
BPIL3	515931	491	46	68558469	19730550	0	92	16	0	5	93	130657779	0	0
BPTF	772730	293	1	452556510	124344003	0	276	59	0	6	118	228230541	0	0
BRAF	305191	616	25	115226412	32503485	0	1054	25	0	1	49	61019322	0	0
BRCA1	1466229	201	27	287110656	71154594	0	198	42	0	1	73	111944910	0	0
BRCA2	221300	462	44	514323516	131239311	0	334	55	0	9	150	310808085	0	0
BRD8	1085933	314	45	200441619	54954774	0	113	16	0	0	16	54954774	0	0
BSCL2	2425755	248	51	68766159	20395158	0	38	12	0	29	370	642135942	0	0
BTG1	114728	510	7	25275873	7123767	0	39	13	0	1	31	19252863	0	0
C10orf113	NaN	NaN	NaN	25483563	6355314	0	48	7	0	2	48	56325528	0	0
C11orf57	389805	179	31	45712569	10488345	0	46	1	0	2	7	30862734	0	0
C12orf57	2704950	211	47	18920559	5566092	0	10	4	0	1	63	63386988	0	0
C14orf126	408399	362	20	25047414	7165305	0	18	1	0	2	38	80085264	0	0
C16orf3	NaN	NaN	NaN	16698276	5483016	0	74	1	0	5	111	143866863	0	0
C19orf18	1252385	750	-19	33521166	8224524	0	39	6	0	7	95	158550546	0	0
C19orf55	1151198	321	30	61850082	20395158	0	52	15	0	5	128	234461241	0	0
C19orf73	2011861	267	47	17404422	6895308	0	10	4	0	6	113	158716698	0	0
C1orf110	334195	540	-7	45608724	11776023	0	38	1	0	1	1	45525648	0	0
C1orf56	1614665	165	40	48038697	16262127	0	34	11	0	6	42	85402128	0	0
C3orf27	1046071	282	53	20976690	7061460	0	47	5	0	2	17	43926435	0	0
C4orf40	181352	975	12	31319652	10799880	0	40	5	0	4	39	77509908	0	0
C6orf222	891439	192	38	97448148	27352773	0	67	25	0	9	188	292552134	0	0
C9orf131	782447	350	42	154999047	48246387	0	92	10	0	2	37	128393958	0	0
C9orf150	77482	482	-32	33271938	9782199	0	67	6	0	3	58	78672972	0	0
C9orf43	390186	297	36	71736126	17861340	0	49	12	0	7	96	140834589	0	0
C9orf86	1921909	176	44	120024051	35182686	0	62	18	0	8	166	291908295	0	0
