Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Disease mutation	124	58.21596244	6.15E-57	"HRAS, GNA11, FLCN, B2M, GATA2, ATP2B3, MUTYH, CDKN2A, MYD88, CSF3R, PIK3CA, PMS2, RPL10, PRKACA, FAS, EGFR, PHOX2B, POLE, GRIN2A, MED12, TNFAIP3, EXT2, SMARCA4, FGFR4, BLM, STK11, SOX2, CHEK2, SDHAF2, KRAS, DDX3X, SMARCB1, IDH2, RPL5, FH, AXIN1, DNMT3A, MAP2K1, MAP2K2, TGFBR2, MET, SMAD4, BRIP1, SMAD3, BRCA2, WRN, ATR, ATM, BRCA1, PTPN11, KCNJ5, SALL4, TSC1, TSC2, CD79B, MTOR, CACNA1D, PHF6, NBN, HNF1A, DICER1, MITF, MLH1, CTCF, DDR2, PTEN, MEN1, AKT1, SBDS, CASP8, FANCE, FANCG, FANCA, KDM5C, AKT2, FANCC, PPP2R1A, AR, RB1, CDK4, WAS, MYCN, CARD11, XPA, XPC, GNAQ, FANCD2, BUB1B, GNAS, TSHR, ACVR1, PRF1, CDH1, CDC73, KIT, IL7R, POT1, CYLD, ERCC5, FAT4, ERCC3, ERCC4, PIK3R1, APC, ERCC2, CEBPA, PTPRC, MSH6, LZTR1, NF2, VHL, MSH2, FLT3, FLT4, STAT3, SDHA, ATRX, SDHB, NRAS, SDHD, PTCH1, JAK3, MPL, DNM2"	213	2550	20581	4.698598914	1.58E-54	1.58E-54	8.02E-54
GOTERM_MF_DIRECT	GO:0005515~protein binding	195	91.54929577	7.12E-37	"HRAS, IL6ST, B2M, MYD88, NT5C2, U2AF1, RPL10, PIK3CA, FAS, ZRSR2, STAG2, MED12, GRIN2A, PTPRT, MAPK1, JUN, UBR5, PRDM1, EXT2, ERBB3, NFKBIE, CHEK2, CALR, SDHAF2, KRAS, RAC1, PBRM1, FH, SPOP, KLF6, DNMT3A, MAP2K1, MAP2K2, TGFBR2, ASXL1, SMAD4, SMAD3, PTPN13, SMAD2, ATR, ATM, KDR, PTPN11, KCNJ5, SRSF2, CBLB, SFRP4, H3F3A, H3F3B, NCOR1, ZFHX3, NCOR2, HNF1A, MITF, MLH1, PTEN, CCNE1, FANCF, FANCG, FANCA, FANCC, AR, SPEN, WAS, MYCN, CARD11, GNAQ, FANCD2, GNAS, PPP6C, PRF1, USP8, KIT, IL7R, FAM46C, POT1, SUFU, CYLD, SF3B1, FAT4, FAT1, STAT3, SDHA, ATRX, SDHB, PTCH1, DNM2, MYOD1, XPO1, CNOT3, FLCN, GATA2, MUTYH, CDKN2A, CDKN2C, SMARCD1, PMS2, CSF3R, PRKACA, RBM10, EGFR, SOCS1, TNFRSF14, ARID1B, HIF1A, TNFAIP3, SMARCA4, FBXO11, FGFR4, BLM, STK11, SOX2, KEAP1, TRRAP, SRC, AMER1, FBXW7, DDX3X, SMARCB1, RPL5, TRAF7, AXIN2, PALB2, AXIN1, MET, BRIP1, BRCA2, WRN, TET2, BRCA1, CDKN1B, SALL4, TSC1, TSC2, HIST1H3B, CD79B, MTOR, CD79A, IKBKB, PHF6, NBN, DICER1, BAP1, CTCF, DDR2, MEN1, AKT1, FUBP1, MAX, SBDS, CXCR4, CASP8, CDK12, AKT2, PPP2R1A, RB1, CDK4, ACVR2A, SMO, XPA, PPM1D, XPC, MDM2, BUB1B, MDM4, TSHR, ACVR1, KMT2C, CDC73, CDH1, ARID2, DROSHA, ERCC5, REL, ETNK1, SH2B3, ERCC3, ERCC4, CHD4, PIK3R1, APC, ERCC2, CEBPA, PTPRB, MSH6, PTPRC, NF2, MSH2, FLT3, VHL, FLT4, RNF43, JAK3, SETD2, MPL"	212	8785	16881	1.76748263	3.62E-34	3.62E-34	1.03E-33
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	108	50.70422535	8.58E-34	"MYOD1, XPO1, GATA2, MUTYH, CDKN2A, U2AF1, PMS2, PRKACA, RBM10, STAG2, POLE, MED12, ARID1B, MAPK1, HIF1A, JUN, UBR5, PRDM1, SMARCA4, FGFR4, BLM, STK11, SOX2, KEAP1, TRRAP, CHEK2, FBXW7, SMARCB1, PBRM1, AXIN2, PALB2, SPOP, DNMT3A, SMAD4, BRIP1, SMAD3, BRCA2, SMAD2, ATR, WRN, BRCA1, ATM, SRSF2, CBLB, CDKN1B, SALL4, HIST1H3B, H3F3A, CD79B, H3F3B, MTOR, NCOR1, ZFHX3, NCOR2, PHF6, NBN, HNF1A, MITF, MLH1, BAP1, CTCF, PTEN, FUBP1, MEN1, AKT1, MAX, CCNE1, SBDS, CASP8, CDK12, FANCE, FANCF, FANCG, FANCA, KDM5C, AKT2, FANCC, AR, RB1, SPEN, CDK4, XPA, XPC, FANCD2, MDM2, MDM4, USP8, KMT2C, CDC73, ARID2, SUFU, POT1, DROSHA, SF3B1, ERCC5, REL, ETNK1, ERCC3, ERCC4, CHD4, APC, ERCC2, MSH6, VHL, MSH2, STAT3, SDHB, SETD2"	212	2784	18224	3.334743006	2.93E-31	2.93E-31	1.17E-30
UP_KEYWORDS	Tumor suppressor	34	15.96244131	4.04E-32	"STK11, MLH1, CDC73, CTCF, CHEK2, FLCN, PTEN, SUFU, CYLD, MUTYH, CDKN2A, TMEM127, SMARCB1, PMS2, PBRM1, PALB2, AXIN1, FH, APC, NF2, VHL, MSH2, BRCA2, RB1, TET2, ATM, BRCA1, SDHA, CDKN1B, TSC1, TSC2, BUB1B, PTCH1, EXT2"	213	177	20581	18.56062173	1.04E-29	5.19E-30	5.27E-29
UP_KEYWORDS	Nucleus	133	62.44131455	6.82E-30	"XPO1, MYOD1, HRAS, CNOT3, FLCN, GATA2, MUTYH, CDKN2A, SMARCD1, U2AF1, PMS2, PRKACA, ZRSR2, RBM10, STAG2, EGFR, PHOX2B, POLE, SOCS1, MED12, ARID1B, MAPK1, HIF1A, UBR5, JUN, PRDM1, TNFAIP3, FBXO11, SMARCA4, BLM, STK11, SOX2, KEAP1, CHEK2, TRRAP, SRC, FBXW7, AMER1, DDX3X, SMARCB1, PBRM1, RPL5, PALB2, AXIN1, SPOP, KLF6, DNMT3A, MAP2K1, ASXL1, FOXA1, SMAD4, PTPN13, BRIP1, SMAD3, BRCA2, SMAD2, WRN, ATR, ATM, BRCA1, PTPN11, KDR, SRSF2, CDKN1B, SALL4, HIST1H3B, H3F3A, H3F3B, MTOR, IKBKB, ZFHX3, NCOR1, NCOR2, PHF6, NBN, HNF1A, MITF, MLH1, BAP1, CTCF, PTEN, FUBP1, AKT1, MEN1, CCNE1, MAX, SBDS, CDK12, FANCE, FANCF, FANCG, FANCA, KDM5C, AKT2, FANCC, AR, SPEN, RB1, CDK4, MYCL, MYCN, XPA, XPC, GNAQ, FANCD2, MDM2, BUB1B, MDM4, USP8, KMT2C, CDC73, ARID2, SUFU, POT1, DROSHA, SF3B1, ERCC5, REL, FAT1, ERCC3, ERCC4, CHD4, ERCC2, CEBPA, MSH6, NF2, VHL, MSH2, FLT4, STAT3, ATRX, RNF43, SETD2"	213	5244	20581	2.450619174	1.75E-27	5.84E-28	8.89E-27
KEGG_PATHWAY	hsa05200:Pathways in cancer	57	26.76056338	1.43E-29	"HRAS, GNA11, MITF, MLH1, PTEN, AKT1, CCNE1, MAX, CDKN2A, CXCR4, CASP8, CSF3R, PIK3CA, PRKACA, FAS, AKT2, EGFR, AR, RB1, CDK4, SMO, MAPK1, HIF1A, GNAQ, JUN, MDM2, GNAS, CDH1, KIT, SUFU, KRAS, RAC1, AXIN2, PIK3R1, AXIN1, FH, APC, CEBPA, MSH6, MAP2K1, MAP2K2, FLT3, MSH2, VHL, MET, TGFBR2, SMAD4, SMAD3, BRCA2, SMAD2, STAT3, NRAS, CBLB, CDKN1B, PTCH1, MTOR, IKBKB"	167	393	6879	5.97435663	2.85E-27	2.85E-27	1.79E-26
UP_KEYWORDS	Ubl conjugation	76	35.68075117	7.01E-29	"MYOD1, MITF, BAP1, CTCF, PTEN, FUBP1, AKT1, CCNE1, CDKN2A, CXCR4, FANCE, RPL10, AKT2, EGFR, AR, MAPK1, XPA, HIF1A, XPC, FANCD2, JUN, MDM2, BUB1B, GNAS, PRDM1, MDM4, FGFR4, USP8, BLM, SOX2, KEAP1, CDH1, CDC73, KIT, CHEK2, SRC, SF3B1, FBXW7, DDX3X, RAC1, PBRM1, RPL5, TRAF7, AXIN2, PIK3R1, CHD4, APC, ERCC2, AXIN1, CEBPA, DNMT3A, NF2, FLT3, MET, SMAD4, SMAD3, BRCA2, SMAD2, BRCA1, KDR, ATRX, RNF43, CBLB, CDKN1B, SALL4, TSC2, HIST1H3B, H3F3A, H3F3B, PTCH1, SETD2, IKBKB, MPL, ZFHX3, NCOR1, PHF6"	213	1705	20581	4.307011964	1.80E-26	4.51E-27	9.15E-26
UP_KEYWORDS	Phosphoprotein	165	77.46478873	9.40E-29	"XPO1, MYOD1, IL6ST, CNOT3, FLCN, GATA2, ATP2B3, MYD88, CDKN2A, NT5C2, U2AF1, PMS2, PRKACA, ZRSR2, FAS, RBM10, STAG2, EGFR, LRP1B, POLE, GRIN2A, MED12, PTPRT, TNFRSF14, ARID1B, MAPK1, HIF1A, UBR5, JUN, TNFAIP3, SMARCA4, FGFR4, BLM, NFKBIE, STK11, ERBB3, SOX2, CHEK2, TRRAP, SRC, FBXW7, AMER1, TMEM127, DDX3X, SMARCB1, RAC1, IDH1, PBRM1, RPL5, TRAF7, AXIN2, PALB2, FH, AXIN1, DNMT3A, MAP2K1, MAP2K2, ASXL1, FOXA1, MET, TGFBR2, SMAD4, PTPN13, BRIP1, SMAD3, BRCA2, SMAD2, WRN, ATR, TET2, ATM, BRCA1, PTPN11, KDR, KCNJ5, SRSF2, CBLB, SALL4, CDKN1B, TSC1, TSC2, HIST1H3B, H3F3A, CD79B, H3F3B, CD79A, MTOR, IKBKB, ZFHX3, NCOR1, CACNA1D, NCOR2, PHF6, NBN, HNF1A, MITF, DICER1, MLH1, BAP1, CTCF, DDR2, PTEN, FUBP1, AKT1, MEN1, CCNE1, MAX, CXCR4, CASP8, CDK12, FANCE, FANCG, FANCA, KDM5C, AKT2, AR, SPEN, RB1, CDK4, WAS, MYCN, CARD11, XPA, PPM1D, XPC, FANCD2, BUB1B, MDM2, GNAS, MDM4, ACVR1, USP8, KMT2C, CDH1, CDC73, KIT, IL7R, ARID2, SUFU, DROSHA, SF3B1, CYLD, ERCC5, REL, FAT4, SH2B3, ERCC3, ERCC4, PIK3R1, CHD4, APC, CEBPA, PTPRC, MSH6, NF2, FLT3, MSH2, FLT4, STAT3, ATRX, SDHA, PTCH1, JAK3, SETD2, DNM2"	213	8246	20581	1.933425681	2.42E-26	4.83E-27	1.23E-25
GOTERM_CC_DIRECT	GO:0005634~nucleus	130	61.03286385	1.51E-21	"MYOD1, XPO1, HRAS, CNOT3, FLCN, GATA2, MUTYH, CDKN2A, MYD88, CDKN2C, PMS2, PRKACA, FAS, RBM10, STAG2, EGFR, POLE, SOCS1, MED12, MAPK1, HIF1A, JUN, UBR5, PRDM1, TNFAIP3, SMARCA4, FBXO11, BLM, STK11, SOX2, TRRAP, CALR, SRC, AMER1, DDX3X, SMARCB1, RAC1, RPL5, AXIN2, AXIN1, SPOP, KLF6, DNMT3A, MAP2K1, MAP2K2, FOXA1, SMAD4, PTPN13, BRIP1, SMAD3, BRCA2, SMAD2, TET2, ATM, BRCA1, PTPN11, KDR, SRSF2, CBLB, CDKN1B, SALL4, TSC1, SFRP4, TSC2, HIST1H3B, H3F3A, H3F3B, MTOR, IKBKB, ZFHX3, NCOR1, NCOR2, PHF6, NBN, HNF1A, DICER1, MITF, MLH1, BAP1, CTCF, PTEN, FUBP1, AKT1, MEN1, CCNE1, MAX, SBDS, CDK12, FANCE, FANCA, KDM5C, AKT2, FANCC, PPP2R1A, AR, SPEN, RB1, CDK4, MYCL, MYCN, XPA, PPM1D, XPC, FANCD2, MDM2, GNAS, MDM4, KMT2C, CDC73, SUFU, POT1, SF3B1, ERCC5, REL, FAT1, ERCC3, ERCC4, PIK3R1, CHD4, APC, ERCC2, CEBPA, NF2, VHL, FLT3, FLT4, STAT3, ATRX, SETD2, DNM2"	212	5415	18224	2.063729333	5.17E-19	2.58E-19	2.06E-18
UP_SEQ_FEATURE	mutagenesis site	71	33.33333333	2.95E-18	"XPO1, HRAS, NBN, IL6ST, DICER1, MITF, BAP1, PTEN, B2M, AKT1, MAX, CXCR4, CASP8, U2AF1, FANCF, KDM5C, AKT2, EGFR, AR, RB1, PPM1D, HIF1A, FANCD2, UBR5, BUB1B, MDM2, GNAS, MDM4, TNFAIP3, SMARCA4, STK11, NFKBIE, KEAP1, CDH1, KIT, CHEK2, SUFU, DROSHA, CYLD, SF3B1, KRAS, DDX3X, RAC1, ERCC3, ERCC2, APC, PTPRC, DNMT3A, MSH6, MAP2K1, NF2, VHL, MSH2, TGFBR2, SMAD4, SMAD3, BRIP1, SMAD2, ATR, BRCA1, ATM, PTPN11, NRAS, RNF43, CBLB, CDKN1B, TSC2, HIST1H3B, CD79A, SETD2, IKBKB"	213	2191	20063	3.052335311	2.91E-15	2.91E-15	4.65E-15
