Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Phosphoprotein	68	82.92682926829268	3.483675563458238E-15	ZNF292, KDM6A, SCAF4, GRIK2, RBM6, TTK, LARP1, CDKN2A, SIN3A, ROBO2, KDM5C, STAG2, CNTN6, TP53, HLA-A, ADNP, BTBD7, ARID1A, RB1, ARID1B, GCC2, USP28, EIF2AK1, ESRP1, SRGAP3, MGA, ZFPM1, KMT2D, BMPR2, CTNND1, ARHGAP35, GON4L, SYCP2, TCF7L2, STAU2, FBXW7, MAP3K1, PBRM1, WAC, NFATC4, BCL9L, USP35, TNRC6B, RASA1, COBLL1, ASXL2, SCLT1, ZC3H13, PDS5B, ZC3H18, NF1, MAP2K4, BRCA2, YTHDC2, NXF1, TET2, LARP4B, IWS1, ATRX, RPS6KA3, HDAC2, PHF14, BCORL1, PTCH1, MIS18BP1, SETD2, USP43, NCOR1	82	8246	20581	2.06975148335039	4.64628335805628E-13	4.64628335805628E-13	4.030109579389318E-12
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	39	47.5609756097561	2.197887429002494E-12	KMT2D, KDM6A, SCAF4, MED23, TCF7L2, WT1, LARP1, FBXW7, SIN3A, CDKN2A, PBRM1, BCL9L, WAC, KDM5C, STAG2, ASXL2, ZC3H13, PDS5B, ZC3H18, TP53, MBD6, BRCA2, ARID1A, RB1, NXF1, ARID1B, IWS1, USP28, RPS6KA3, HDAC2, BCORL1, ESRP1, MGA, MIS18BP1, ZFPM1, SETD2, USP43, NCOR1, RNF111	78	2784	18224	3.272988505747126	2.9012392488425576E-10	2.9012392488425576E-10	2.566524770486467E-9
UP_KEYWORDS	Nucleus	51	62.19512195121951	5.858884180975596E-12	ZNF292, KDM6A, SCAF4, RBM6, MED23, SIN3A, CDKN2A, STAG2, KDM5C, TP53, BTBD7, ADNP, MBD6, ARID1A, ARID1B, RB1, USP28, ESRP1, MGA, ZFPM1, KMT2D, CTNND1, ARHGAP35, GON4L, SYCP2, TCF7L2, WT1, STAU2, FBXW7, PBRM1, ZNF750, BCL9L, WAC, NFATC4, ASXL2, ZC3H13, PDS5B, ZC3H18, NF1, MAP2K4, BRCA2, NXF1, IWS1, ATRX, RPS6KA3, HDAC2, BCORL1, MIS18BP1, SETD2, NCOR1, RNF111	82	5244	20581	2.4409569124295363	7.909473076495033E-10	3.9547365382475164E-10	6.868761115441657E-9
UP_KEYWORDS	Chromatin regulator	14	17.073170731707318	9.255700864291997E-11	KMT2D, KDM6A, ARID1A, ARID1B, RB1, TET2, ATRX, HDAC2, BCORL1, PBRM1, WAC, SETD2, NCOR1, KDM5C	82	287	20581	12.243307555026771	1.2495189771755122E-8	4.1650632942591415E-9	1.0851107790088577E-7
UP_KEYWORDS	Ubl conjugation	27	32.926829268292686	7.944375941004245E-10	KMT2D, TRIM17, GRIK2, RBM6, TCF7L2, WT1, LARP1, FBXW7, SIN3A, CDKN2A, PBRM1, NFATC4, ZC3H13, ZC3H18, TP53, HLA-A, ADNP, BRCA2, ATRX, HDAC2, BCORL1, MGA, PTCH1, MIS18BP1, SETD2, NCOR1, RNF111	82	1705	20581	3.9745869394177817	1.0724907395509575E-7	2.6812269515730236E-8	9.313754101292204E-7
UP_KEYWORDS	Transcription regulation	30	36.58536585365854	6.8332925105780134E-9	KMT2D, ZNF292, CTNND1, ARHGAP35, GON4L, MED23, TCF7L2, WT1, SIN3A, CDKN2A, PBRM1, ZNF750, BCL9L, WAC, NFATC4, KDM5C, ASXL2, TP53, ADNP, ARID1A, RB1, ARID1B, IWS1, ATRX, HDAC2, BCORL1, MGA, ZFPM1, SETD2, NCOR1	82	2332	20581	3.2288311090658075	9.224940634711132E-7	1.8449888072868958E-7	8.011151797493454E-6
UP_KEYWORDS	Isopeptide bond	21	25.609756097560975	1.0299420984300114E-8	KMT2D, ZC3H13, ZC3H18, GRIK2, TP53, ADNP, RBM6, GON4L, TCF7L2, WT1, LARP1, ATRX, HDAC2, BCORL1, MGA, PBRM1, PTCH1, MIS18BP1, SETD2, NCOR1, RNF111	82	1132	20581	4.656134189433767	1.3904208732151702E-6	2.3173694640998832E-7	1.2074739008660629E-5
UP_KEYWORDS	Transcription	30	36.58536585365854	1.288611605733267E-8	KMT2D, ZNF292, CTNND1, ARHGAP35, GON4L, MED23, TCF7L2, WT1, SIN3A, CDKN2A, PBRM1, ZNF750, BCL9L, WAC, NFATC4, KDM5C, ASXL2, TP53, ADNP, ARID1A, RB1, ARID1B, IWS1, ATRX, HDAC2, BCORL1, MGA, ZFPM1, SETD2, NCOR1	82	2398	20581	3.1399641978071156	1.7396241666078893E-6	2.485179233513435E-7	1.5107304229822205E-5
UP_KEYWORDS	Alternative splicing	67	81.70731707317073	1.7405375024440216E-8	ZNF292, SCAF4, GRIK2, RBM6, TTK, MED23, LARP1, CDKN2A, XYLT2, RMND5B, ROBO2, KDM5C, STAG2, SLC22A9, TP53, HLA-A, BTBD7, ARID1A, ARID1B, GCC2, USP28, EIF2AK1, ESRP1, SRGAP3, MGA, ASTE1, KMT2D, TRIM17, ADAMTSL4, BMPR2, CTNND1, GON4L, TCF7L2, STAU2, WT1, PKD1L2, FBXW7, RTKN2, PBRM1, WAC, NFATC4, BCL9L, USP35, TNRC6B, RASA1, ASXL2, COBLL1, ZC3H13, SCLT1, PDS5B, ZC3H18, FAM111B, NF1, MAP2K4, NXF1, TET2, IWS1, ATRX, HDAC2, PHF14, BCORL1, PTCH1, MIS18BP1, SETD2, USP43, NCOR1, RNF111	82	10587	20581	1.5883803652431534	2.3497228889279853E-6	2.9371566301339413E-7	2.040555029392266E-5
UP_SEQ_FEATURE	splice variant	57	69.51219512195121	2.6233685409543236E-8	SCAF4, GRIK2, MED23, LARP1, CDKN2A, XYLT2, RMND5B, ROBO2, KDM5C, SLC22A9, TP53, HLA-A, BTBD7, ARID1A, ARID1B, GCC2, USP28, EIF2AK1, ESRP1, SRGAP3, MGA, KMT2D, ADAMTSL4, CTNND1, ARHGAP35, GON4L, TCF7L2, STAU2, WT1, PKD1L2, FBXW7, RTKN2, PBRM1, NFATC4, BCL9L, WAC, TNRC6B, RASA1, ASXL2, COBLL1, ZC3H13, SCLT1, PDS5B, ZC3H18, FAM111B, NF1, TET2, IWS1, ATRX, HDAC2, PHF14, BCORL1, MIS18BP1, USP43, SETD2, NCOR1, RNF111	82	7760	20063	1.7971948076439526	1.1332888043780187E-5	1.1332888043780187E-5	3.700051498523038E-5
